accession_number	scientific_name	common_name	building	life_form	media_count
2015-2175A	Thuja occidentalis 'Degroot's Spire'	American Arborvitae cultivar,Arborvitae cultivar		Evergreen tree	3
2017-0497A	Stewartia serrata	Japanese Stewartia,Sawtooth Stewartia	Freer	Deciduous tree	18
2015-2177A	Styrax japonicus	Japanese Snowbell		Deciduous tree	20
2015-2172A	Thuja occidentalis 'Degroot's Spire'	American Arborvitae cultivar,Arborvitae cultivar		Evergreen tree	10
2015-2174A	Thuja occidentalis 'Degroot's Spire'	American Arborvitae cultivar,Arborvitae cultivar		Evergreen tree	3
2015-2192A	Taxus × media 'Angelica'	Cultivar of Anglojap Yew,Angelica Yew		Evergreen shrub/sub-shrub	5
2015-2171A	Thuja occidentalis 'Degroot's Spire'	American Arborvitae cultivar,Arborvitae cultivar		Evergreen tree	3
2015-2191A	Taxus × media 'Angelica'	Cultivar of Anglojap Yew,Angelica Yew		Evergreen shrub/sub-shrub	12
2017-0406A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	5
2017-0496A	Stewartia pseudocamellia	Japanese Stewartia,Korean Stewartia,Deciduous Camellia	Freer	Deciduous tree	18
2011-0118A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	HMSG	Deciduous tree	3
2011-0122A	Ulmus americana 'Delaware'	American Elm cultivar	HMSG	Deciduous tree	3
2011-0341A	Ulmus americana	American Elm,White Elm	Freer	Deciduous tree	6
2011-0344A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	Freer	Deciduous tree	6
2011-0350A	Ulmus americana	American Elm,White Elm	Freer	Deciduous tree	10
2011-0347A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	Freer	Deciduous tree	12
2011-0420A	Ulmus americana	American Elm,White Elm	HMSG	Deciduous tree	4
2011-0417A	Ulmus americana	American Elm,White Elm	HMSG	Deciduous tree	4
2011-0427A	Ulmus americana	American Elm,White Elm		Deciduous tree	5
2011-0451A	Ulmus americana	American Elm,White Elm	NPG	Deciduous tree	2
2011-0449A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	2
2011-0450A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	2
2011-0445A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	NPG	Deciduous tree	2
