accession_number	scientific_name	common_name	building	life_form	media_count
2011-1316A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NASM	Deciduous tree	2
2011-1340A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	2
2011-1338A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	2
2011-1342A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NASM	Deciduous tree	2
2013-0650A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle	NASM	Deciduous tree	2
2017-0442A	Lagerstroemia indica 'Muskogee' × L. fauriei	Crepeflower,Crape Myrtle,Crepe Myrtle	NPG	Deciduous tree	12
2017-0443A	Lagerstroemia indica 'Muskogee' × L. fauriei	Crepeflower,Crape Myrtle,Crepe Myrtle	NPG	Deciduous tree	6
2011-1280A	Lagerstroemia indica 'Tonto'	Tonto Crepe Myrtle	NASM	Deciduous tree	14
2012-1389A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMAH	Deciduous tree	4
2012-1392A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMAH	Deciduous tree	3
2012-1390A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMAH	Deciduous tree	10
2012-1393A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMAH	Deciduous tree	3
2012-1396A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMNH	Deciduous tree	4
2012-1397A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMNH	Deciduous tree	6
2012-1394A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMAH	Deciduous tree	8
2012-1391A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMAH	Deciduous tree	5
2012-1459A	Larix decidua 'Horstmann's Recurved'	European Larch	NMNH	Deciduous tree	8
2014-1251A	Liquidambar styraciflua 'Rotundiloba'	Roundleaf Sweetgum,'Rotundiloba' Sweetgum	NMNH	Deciduous tree	3
2011-0406A	Magnolia × brooklynensis 'Yellow Bird'	Yellow Bird Magnolia		Deciduous tree	23
2011-0501A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0504A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0505A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0507A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	6
2011-0510A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0519A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0502A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0520A	Magnolia sieboldii 'Michiko Renge'	Oyama Magnolia cultivar	Freer	Deciduous tree	19
2011-0518A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	12
2011-0567A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0598A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	15
2011-1248A	Magnolia sp.		NASM	Tree	2
2011-1290A	Magnolia sp.		NASM	Tree	2
2011-2711A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	2
2012-1409A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	11
2012-1410A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	14
2018-0103A	Magnolia sp.			Tree	6
2018-0767A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0156A	Malus 'Cotton Candy'	Cotton Candy Crabapple	HMSG	Deciduous tree	5
2011-0157A	Malus 'Cotton Candy'	Cotton Candy Crabapple	HMSG	Deciduous tree	5
2011-0585A	Magnolia virginiana 'Tensaw'	Tensaw Sweetbay Magnolia		Evergreen tree	4
2011-0664A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	4
2011-0667A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	5
2011-0931A	Malus × atrosanguinea	Carmine Crab Apple	NMNH	Deciduous tree	11
2011-1335A	Malus 'Centurion'	Cultivar of Flowering Crab Apple	NASM	Deciduous tree	15
2011-1337A	Malus 'Centurion'	Cultivar of Flowering Crab Apple	NASM	Deciduous tree	9
2011-1336A	Malus 'Centurion'	Cultivar of Flowering Crab Apple	NASM	Deciduous tree	8
2012-1456A	Magnolia virginiana 'Perry Paige' Sweet Thing	Sweet Thing Sweetbay Magnolia,Sweetbay Magnolia cultivar	NMNH	Evergreen tree	14
2012-1457A	Magnolia virginiana 'Jim Wilson' Moon Glow	Sweet Bay Magnolia,Swamp Bay,Laurel Magnolia	NMNH	Evergreen tree	17
2011-1009A	Morella cerifera	Southern bayberry,Southern Wax Myrtle,Waxmyrtle	NMNH	Evergreen shrub/sub-shrub	15
2011-2785A	Morus alba	White mulberry,Silkworm Mulberry,Russian mulberry		Deciduous tree	2
2011-2925A	Morus alba	White mulberry,Silkworm Mulberry,Russian mulberry		Deciduous tree	1
2011-0331A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	4
2011-0332A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	4
2011-0338A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	6
2011-0330A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	4
2011-0333A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	4
2011-0339A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	8
2011-0337A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	15
2011-1020A	Persea borbonia	Red Bay,Tisswood	NMNH	Evergreen tree	16
2011-0393A	Picea omorika 'Berliner's Weeper'	Serbian Spruce cultivar	SI Castle	Evergreen tree	2
2011-0394A	Picea omorika 'Berliner's Weeper'	Serbian Spruce cultivar	SI Castle	Evergreen tree	8
2011-0409A	Picea abies 'Pendula'	Weeping Norway Spruce	NASM	Evergreen tree	8
2011-0408A	Picea abies 'Pendula'	Weeping Norway Spruce	NASM	Evergreen tree	12
2011-0410A	Picea abies 'Pendula'	Weeping Norway Spruce	NASM	Evergreen tree	3
2011-0430A	Picea omorika	Serbian Spruce		Evergreen tree	10
2011-1325A	Picea pungens 'Montgomery'	Colorado Blue Spruce,Cultivar of Colorado Spruce	NASM	Evergreen tree	8
2014-1221A	Pinus strobus 'Fastigiata'	Cultivar of Eastern White Pine	NMNH	Evergreen tree	10
2015-2181A	Picea abies 'Acrocona'	Norway Spruce cultivar		Evergreen tree	13
2015-2176A	Pinus densiflora 'Umbraculifera'	Japanese Red Pine		Evergreen tree	15
2015-2182A	Picea abies 'Gregoryana Parsonii'	Norway spruce cultivar		Evergreen tree	12
2017-0267A	Pinus koraiensis 'Nana'	Dwarf Korean Pine	Freer	Evergreen tree	12
2017-0268A	Pinus koraiensis 'Nana'	Dwarf Korean Pine	Freer	Evergreen tree	5
2018-0001A	Pinus koraiensis 'Morris Blue'	Blue Korean Pine,Chinese Pinenut	Freer	Evergreen tree	13
2011-0038A	Styphnolobium japonicum	Chinese Scholar Tree,Pagoda-Tree,Japanese Pagoda Tree	HMSG	Deciduous tree	14
2011-0121A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	HMSG	Deciduous tree	3
2011-0151A	Malus 'Cotton Candy'	Cotton Candy Crabapple	HMSG	Deciduous tree	3
2011-0120A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	HMSG	Deciduous tree	3
2011-0114A	Ulmus × hollandica	Hybrid Elm,Dutch Elm,Holland Elm	HMSG	Deciduous tree	9
2011-0115A	Ulmus × hollandica	Hybrid Elm,Dutch Elm,Holland Elm	HMSG	Deciduous tree	12
2011-0119A	Ulmus americana 'Delaware'	American Elm cultivar	HMSG	Deciduous tree	3
2011-0116A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	HMSG	Deciduous tree	3
2011-0196A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0159A	Malus 'Cotton Candy'	Cotton Candy Crabapple	HMSG	Deciduous tree	8
2011-0171A	Acer palmatum	Japanese Threadleaf Maple,Laceleaf Maple,Japanese Maple	HMSG	Deciduous tree	7
2011-0167A	Chamaecyparis obtusa 'Nana Gracilis'	Nana Gracilis Hinoki False Cypress	HMSG	Evergreen shrub/sub-shrub	10
2011-0193A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0172A	Acer palmatum	Japanese Threadleaf Maple,Laceleaf Maple,Japanese Maple	HMSG	Deciduous tree	18
2011-0201A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0199A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0189A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0197A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0225A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0195A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0190A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0231A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0191A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0194A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0198A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0200A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0202A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0229A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0230A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0188A	Hamamelis × intermedia 'Arnold Promise'	Arnold Promise Witch Hazel,Witch Hazel	HMSG	Deciduous shrub/sub-shrub	4
2011-0233A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0232A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0226A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0192A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0227A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0203A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0220A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0222A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0223A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0204A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	10
2011-0224A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0228A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0234A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	1
2011-0329A	Acer palmatum 'Burgundy Lace'	Japanese Maple,'Burgundy Lace' Japanese maple	Freer	Deciduous tree	4
2011-0334A	Acer palmatum 'Burgundy Lace'	Japanese Maple,'Burgundy Lace' Japanese maple	Freer	Deciduous tree	8
2011-0336A	Parrotia persica	Persian Ironwood,Persian Parrotia,Ironwood	Freer	Deciduous tree	4
2011-0335A	Acer palmatum 'Burgundy Lace'	Japanese Maple,'Burgundy Lace' Japanese maple	Freer	Deciduous tree	14
2011-0342A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	Freer	Deciduous tree	4
2011-0343A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	Freer	Deciduous tree	6
2011-0340A	Acer palmatum 'Burgundy Lace'	Japanese Maple,'Burgundy Lace' Japanese maple	Freer	Deciduous tree	6
2011-0381A	Chamaecyparis obtusa 'Kosteri Fast Form'	Kosteri Fast Form Hinoki False Cypress	Freer	Evergreen shrub/sub-shrub	6
2011-0356A	Chamaecyparis obtusa 'Split Rock'	Split Rock Hinoki False Cypress	Freer	Evergreen shrub/sub-shrub	4
2011-0357A	Chamaecyparis obtusa 'Split Rock'	Split Rock Hinoki False Cypress	Freer	Evergreen shrub/sub-shrub	2
2011-0358A	Chamaecyparis obtusa 'Split Rock'	Split Rock Hinoki False Cypress	Freer	Evergreen shrub/sub-shrub	3
2011-0379A	Chamaecyparis obtusa 'Kosteri Fast Form'	Kosteri Fast Form Hinoki False Cypress	Freer	Evergreen shrub/sub-shrub	5
2011-0416A	Cercis canadensis 'Hearts of Gold'	Hearts of Gold Eastern Redbud		Deciduous tree	10
2011-0426A	Cornus officinalis 'Kintoki'	Kintoki Japanese Cornelian Cherry,Kintoki Japanese Cornel Dogwood		Deciduous tree	20
2011-0411A	Chamaecyparis obtusa 'Kosteri Fast Form'	Kosteri Fast Form Hinoki False Cypress		Evergreen shrub/sub-shrub	9
2011-0413A	Acer griseum	Chinese Paperbark Maple,Paperbark Maple		Deciduous tree	18
2011-0424A	Corylus avellana 'Contorta'	Curly European Filbert,Harry Lauder's Walking Stick		Deciduous shrub/sub-shrub	20
2011-0493A	Ilex opaca	American Holly,White Holly		Evergreen tree	4
2011-0495A	Ilex opaca	American Holly,White Holly		Evergreen tree	4
2011-0440A	Celtis sinensis	Japanese hackberry,Chinese netelbloom,Chinese nettletree,Chinese hackberry	NPG	Deciduous tree	22
2011-0498A	Ilex opaca	American Holly,White Holly		Evergreen tree	3
2011-0491A	Ilex opaca	American Holly,White Holly		Evergreen tree	3
2011-0492A	Ilex opaca	American Holly,White Holly		Evergreen tree	3
2011-0508A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	4
2011-0497A	Ilex opaca	American Holly,White Holly		Evergreen tree	3
2011-0509A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	12
2011-0506A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	7
2011-0529A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2011-0535A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	13
2011-0541A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	6
2011-0543A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	3
2011-0534A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	6
2011-0540A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	7
2011-0537A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	14
2011-0539A	Cryptomeria japonica 'Black Dragon'	Black Dragon Japanese Cedar,Black Dragon Japanese Cryptomeria		Evergreen tree	3
2011-0536A	Cryptomeria japonica 'Black Dragon'	Black Dragon Japanese Cedar,Black Dragon Japanese Cryptomeria		Evergreen tree	11
2011-0544A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	3
2011-0546A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	8
2011-0545A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	19
2011-0589A	Ilex opaca	American Holly,White Holly		Evergreen tree	3
2011-0584A	Ilex opaca	American Holly,White Holly		Evergreen tree	4
2011-0591A	Ilex opaca	American Holly,White Holly		Evergreen tree	3
2011-0586A	Ilex opaca	American Holly,White Holly		Evergreen tree	4
2011-0652A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0654A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0610A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2011-0657A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	5
2011-0662A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	5
2011-0663A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	3
2011-0630A	Cercis canadensis 'Forest Pansy'	Forest Pansy Eastern Redbud	NMAH	Deciduous tree	5
2011-0645A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0646A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0649A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0668A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	7
2011-0658A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	11
2011-0671A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	7
2011-0660A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	5
2011-0665A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0679A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0666A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	5
2011-0650A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0587A	Ilex opaca	American Holly,White Holly		Evergreen tree	4
2011-0615A	Cercis canadensis 'Forest Pansy'	Forest Pansy Eastern Redbud	NMAH	Deciduous tree	14
2011-0653A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0659A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	5
2011-0673A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	8
2011-0670A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	8
2011-0669A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	6
2011-0687A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0644A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0672A	Malus 'Prairifire'	Prairifire Crabapple	NMAH	Deciduous tree	12
2011-0688A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0648A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	5
2011-0683A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0676A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	2
2011-0684A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	14
2011-0686A	Lagerstroemia indica 'Sioux'	Sioux Crape Myrtle	NMAH	Deciduous tree	3
2011-0713A	Cercis canadensis	Judas Tree,Eastern Redbud	NMAH	Deciduous tree	12
2011-0732A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	11
2011-0735A	Lagerstroemia indica 'Miami'	Miami Crape Myrtle	NMAH	Deciduous tree	3
2011-0764A	Ulmus × hollandica	Hybrid Elm,Dutch Elm,Holland Elm	NMAH	Deciduous tree	3
2011-0776A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry	NMAH	Deciduous tree	4
2011-0791A	Ilex opaca	American Holly,White Holly	NMAH	Evergreen tree	2
2011-0832A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2011-0774A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry	NMAH	Deciduous tree	11
2011-0855A	Cornus mas	Sorbet,Cornelian Cherry Dogwood,Edible Dogwood	NMAH	Deciduous tree	5
2011-0793A	Ilex opaca	American Holly,White Holly	NMAH	Evergreen tree	2
2011-0834A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	2
2011-0864A	Cedrus deodara 'Aurea'	Golden Himalayan Cedar,Golden Deodar cedar	NMAH	Evergreen tree	5
2011-0856A	Cornus mas	Sorbet,Cornelian Cherry Dogwood,Edible Dogwood	NMAH	Deciduous tree	5
2011-0840A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	4
2011-0837A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2011-0863A	Cedrus deodara 'Aurea'	Golden Himalayan Cedar,Golden Deodar cedar	NMAH	Evergreen tree	12
2011-0875A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	3
2011-0873A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	4
2011-0877A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	2
2011-0857A	Cornus mas	Sorbet,Cornelian Cherry Dogwood,Edible Dogwood	NMAH	Deciduous tree	15
2011-0865A	Cedrus deodara 'Aurea'	Golden Himalayan Cedar,Golden Deodar cedar	NMAH	Evergreen tree	3
2011-0881A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	9
2011-0874A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	3
2011-0876A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	8
2011-0879A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	2
2011-0878A	Cryptomeria japonica 'Yoshino'	Yoshino Japanese Cedar	NMAH	Evergreen tree	2
2011-0894A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	3
2011-0956A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	4
2011-0957A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	6
2011-0959A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	4
2011-0964A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	3
2011-0963A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	4
2011-0958A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	11
2011-0962A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	4
2011-0960A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	4
2011-0961A	Carpinus betulus	Common Hornbeam,European Hornbeam	NMNH	Deciduous tree	4
2011-0997A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NMNH	Deciduous tree	4
2011-0995A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NMNH	Deciduous tree	4
2011-1052A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMNH	Deciduous tree	5
2011-1056A	Betula nigra 'Cully' Heritage	Heritage Black Birch,Heritage Red Birch,Heritage River Birch	NMNH	Deciduous tree	7
2011-1051A	Amelanchier arborea	Sarvis-berry,Shadblow,Sugarplum,Sarviss Tree,Indian Cherry,Juneberry,Common Serviceberry,Shadbush	NMNH	Deciduous tree	15
2011-1059A	Betula nigra 'Cully' Heritage	Heritage Black Birch,Heritage Red Birch,Heritage River Birch	NMNH	Deciduous tree	6
2011-1063A	Celtis laevigata	Southern Hackberry,Sugar Hackberry,Sugarberry,Mississippi Hackberry	NMNH	Deciduous tree	6
2011-1227A	Betula nigra 'Cully' Heritage	Heritage Black Birch,Heritage Red Birch,Heritage River Birch	NASM	Deciduous tree	2
2011-1272A	Hamamelis × intermedia 'Arnold Promise'	Arnold Promise Witch Hazel,Witch Hazel	NASM	Deciduous shrub/sub-shrub	2
2011-1254A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NASM	Deciduous tree	5
2011-1289A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	1
2011-1279A	Chamaecyparis obtusa	Hinoki False Cypress	NASM	Evergreen tree	3
2011-1074A	Ilex opaca	American Holly,White Holly	NMNH	Evergreen tree	4
2011-1285A	Acer palmatum	Japanese Threadleaf Maple,Laceleaf Maple,Japanese Maple	NASM	Deciduous tree	3
2011-1288A	Lagerstroemia indica 'Natchez'	Natchez Crape Myrtle	NASM	Deciduous tree	2
2011-1278A	Chamaecyparis obtusa	Hinoki False Cypress	NASM	Evergreen tree	3
2011-1363A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1314A	Acoelorrhaphe wrightii	Paurotis Palm,Everglades Palm,Silver Saw Palm	NASM	Palm	7
2011-1353A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	4
2011-1355A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1349A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	2
2011-1350A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	3
2011-1351A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	1
2011-1362A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	1
2011-1398A	Ilex opaca	American Holly,White Holly	NMAI DC	Evergreen tree	2
2011-1393A	Platanus occidentalis	American Planetree,Sycamore,Buttonball,American Sycamore	NMAI DC	Deciduous tree	2
2011-1399A	Ilex opaca	American Holly,White Holly	NMAI DC	Evergreen tree	2
2011-1376A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	10
2011-1408A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NMAI DC	Deciduous tree	1
2011-1356A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1434A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NMAI DC	Deciduous tree	1
2011-1493A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	2
2011-1482A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	1
