width	height	ids_id
2000.0	1333.0	SG-2011-1244A-LEB1-HL
2000.0	1333.0	SG-2011-1244A-SNP1-HL
1333.0	1999.0	SG-2011-1244A-STE1-HL
1333.0	1999.0	SG-2011-1244A-STE3-HL
2000.0	1333.0	SG-2011-1244A-STE4-HL
2000.0	1333.0	SG-2011-1244A-STE5-HL
1334.0	2000.0	SG-2011-1244A-STE6-HL
2000.0	1333.0	SG-2011-1066A-FLO1-HL
1333.0	1999.0	SG-2011-1066A-SUM1-HL
1333.0	1999.0	SG-2011-1066A-FAL1-HL-000002
1334.0	2000.0	SG-2011-1066A-WIN1-HL
1333.0	2000.0	SG-2011-1066A-SPR1-HL
2000.0	1333.0	SG-2011-1066A-SNP2-HL
2000.0	1333.0	SG-2011-1066A-FLO2-HL
2000.0	1333.0	SG-2011-1066A-LEF1-HL
1333.0	2000.0	SG-2011-1066A-BAR2-HL
2000.0	1333.0	SG-2011-1066A-LEB1-HL
1333.0	2000.0	SG-2011-1066A-STE2-HL
1333.0	2000.0	SG-2011-1066A-BUD2-HL
2000.0	1333.0	SG-2011-1066A-BUD1-HL
2000.0	1333.0	SG-2011-1066A-SNP1-HL
2000.0	1334.0	SG-2011-1066A-STE3-HL
1333.0	1999.0	SG-2011-1066A-STE4-HL
2000.0	1333.0	SG-2011-1066A-BAR3-HL
2000.0	1333.0	SG-2011-1431A-LEF1-HL
1333.0	2000.0	SG-2011-1431A-FAL1-HL
1333.0	2000.0	SG-2011-1431A-BAR1-HL
2000.0	1333.0	SG-2011-1431A-SNP1-HL
1334.0	2000.0	SG-2011-1431A-STE3-HL
		SG-2011-1431A-BAR2-HL
2000.0	1333.0	SG-2011-1431A-STE2-HL
		SG-2011-1431A-LEB1-HL
2000.0	1333.0	SG-2011-1431A-STE1-HL
2000.0	1333.0	SG-2011-1431A-BUD1-HL
1333.0	2000.0	SG-2011-2668A-SUM1-HL
1333.0	2000.0	SG-2011-2668A-WIN1-HL
1333.0	2000.0	SG-2011-2712A-SUM1-HL
1333.0	2000.0	SG-2011-2712A-WIN1-HL
2000.0	1333.0	SG-2011-2708A-SUM1-HL
2000.0	1333.0	SG-2011-2708A-WIN1-HL
1333.0	1999.0	SG-2011-2667A-SUM1-HL
1333.0	2000.0	SG-2011-2667A-WIN1-HL
1333.0	2000.0	SG-2011-2709A-SUM1-HL
2000.0	1333.0	SG-2011-2709A-WIN1-HL
1333.0	2000.0	SG-2011-2969A-WIN1-HL
1334.0	2000.0	SG-2017-0379A-WIN-HL
2000.0	1333.0	SG-2017-0379A-FAL1-HL
1333.0	1999.0	SG-2017-0379A-SUM-HL-000002
1334.0	2000.0	SG-2017-0379A-BAR-HL-000002
1333.0	2000.0	SG-2017-0380A-FAL1-HL
1333.0	1999.0	SG-2017-0380A-SUM-HL-000002
1333.0	2000.0	SG-2017-0380A-WIN-HL
1333.0	2000.0	SG-2017-0380A-BAR-HL-000002
		SG-2017-0385A-BAR-HL-000002
1333.0	2000.0	SG-2017-0385A-FAL1-HL
1333.0	2000.0	SG-2017-0385A-SPR1-HL
1333.0	2000.0	SG-2017-0385A-WIN-HL
1333.0	1999.0	SG-2017-0385A-SUM-HL-000002
1333.0	2000.0	SG-2017-0385A-BUD2-HL
2000.0	1333.0	SG-2017-0385A-BUD1-HL
2000.0	1333.0	SG-2017-0385A-SNP1-HL
1333.0	2000.0	SG-2017-0385A-STE1-HL
1333.0	1999.0	SG-2017-0389A-WIN-HL
2000.0	1334.0	SG-2017-0389A-FAL1-HL
1333.0	2000.0	SG-2017-0389A-SPR1-HL
2000.0	1333.0	SG-2017-0389A-SUM-HL-000002
2000.0	1333.0	SG-2017-0389A-BAR-HL-000002
2000.0	1333.0	SG-2017-0386A-FAL1-HL
1333.0	2000.0	SG-2017-0386A-SUM-HL-000002
		SG-2017-0386A-WIN-HL
		SG-2017-0386A-SUM1-HL
1334.0	2000.0	SG-2017-0386A-BAR-HL-000002
2000.0	1322.0	SG-2017-0384A-LEF1-HL
2000.0	1333.0	SG-2017-0384A-SNP1-HL
1333.0	1999.0	SG-2017-0384A-FAL1-HL-000002
		SG-2017-0384A-WIN-HL
2000.0	1333.0	SG-2017-0384A-SPR1-HL
1333.0	2000.0	SG-2017-0384A-SUM-HL-000002
		SG-2017-0384A-SUM1-HL
1333.0	2000.0	SG-2017-0384A-LEB1-HL
1333.0	2000.0	SG-2017-0384A-FRU1-HL
1333.0	2000.0	SG-2017-0384A-STE1-HL
1333.0	1999.0	SG-2017-0384A-STE2-HL
1333.0	1999.0	SG-2017-0384A-BAR1-HL
1333.0	2000.0	SG-2017-0384A-BAR-HL-000002
		SG-2017-0382A-BAR-HL-000002
1334.0	2000.0	SG-2017-0382A-WIN-HL
1333.0	2000.0	SG-2017-0382A-FAL1-HL
1333.0	2000.0	SG-2017-0382A-SUM-HL-000002
1333.0	2000.0	SG-2017-0471A-FAL1-HL
		SG-2017-0471A-SPR1-HL
